FirstName,FamilyName,ClubName,Race,DateOfBirth,Gender,DateOfMedicalExamination
Viktor,Somogyi,Szeged Fit,Cadet Male Kunite -70 kg,2009-06-30,Male,2024-01-08
János,Fülöp,Miskolci Harcosok,U14 Male Kunite -63 kg,2012-02-28,Male,2024-02-25
Norbert,Veres,Debrecen Karate SE,Senior Male Individual Kata,1993-10-14,Male,2023-12-20
Anita,Szalai,Gyõri Dojó,U21 Female Individual Kata,2005-03-19,Female,2024-01-14
Miklós,Hegedûs,Pécsi Küzdõsport Egyesület,Junior Male Individual Kata,2008-09-05,Male,2024-02-10
Károly,Budai,Budapest SC,Cadet Male Individual Kata,2010-04-22,Male,2024-01-03
Alexandra,Király,Szeged Fit,U14 Female Individual Kata,2013-11-11,Female,2024-02-02
Imre,Török,Miskolci Harcosok,Senior Male Kunite -84 kg,1996-01-15,Male,2024-03-08
Csaba,Barta,Debrecen Karate SE,U21 Male Kunite -60 kg,2003-07-27,Male,2024-01-19
Richárd,Sándor,Gyõri Dojó,Junior Male Kunite -61 kg,2007-05-18,Male,2023-12-05
Edit,Kelemen,Budapest SC,Cadet Female Kunite -61 kg,2009-02-08,Female,2024-02-14
Róbert,Oláh,Pécsi Küzdõsport Egyesület,U14 Male Kunite -70 kg,2012-12-03,Male,2024-01-27
Lajos,Bíró,Szeged Fit,Senior Male Kunite +84 kg,1991-08-16,Male,2024-03-10
Erika,Pásztor,Miskolci Harcosok,U21 Female Kunite -61 kg,2004-10-10,Female,2024-02-22
Tibor,Vince,Debrecen Karate SE,Junior Male Kunite -76 kg,2008-06-04,Male,2024-01-16
Gusztáv,Fodor,Gyõri Dojó,Cadet Male Kunite +70 kg,2010-03-22,Male,2024-02-09
Nikolett,Szõke,Budapest SC,U14 Female Kunite +52 kg,2013-09-12,Female,2023-12-18
Jenõ,Major,Pécsi Küzdõsport Egyesület,Senior Male Kunite -67 kg,1995-11-28,Male,2024-01-21
Kornél,Szûcs,Szeged Fit,U21 Male Kunite -75 kg,2003-02-02,Male,2024-03-04
Bernadett,Bakos,Miskolci Harcosok,Junior Female Kunite +66 kg,2007-04-17,Female,2024-02-28
Pál,Hajdu,Debrecen Karate SE,Cadet Male Kunite -63 kg,2009-01-30,Male,2024-01-07
György,Halász,Gyõri Dojó,U14 Male Kunite +70 kg,2012-08-15,Male,2024-02-17
Beatrix,Kanyó,Budapest SC,Senior Female Individual Kata,1997-05-25,Female,2024-03-12
Ottó,Váradi,Pécsi Küzdõsport Egyesület,U21 Male Individual Kata,2004-10-02,Male,2023-12-28
Zalán,Sipos,Szeged Fit,Junior Male Individual Kata,2008-12-14,Male,2024-02-06
Veronika,Balla,Miskolci Harcosok,Cadet Female Individual Kata,2010-06-07,Female,2024-01-24
Dezsõ,Gulyás,Debrecen Karate SE,U14 Male Individual Kata,2012-03-19,Male,2024-02-23
Arnold,Balázs,Gyõri Dojó,Senior Male Kunite -75 kg,1993-02-11,Male,2024-01-08
Boglárka,Vass,Szeged Fit,Senior Female Kunite -55 kg,1999-06-21,Female,2024-02-14
Csongor,Németh,Budapest SC,U21 Male Kunite -67 kg,2005-09-03,Male,2024-01-30
Diána,Kertész,Pécsi Küzdõsport Egyesület,U21 Female Kunite -61 kg,2004-11-15,Female,2024-03-05
Elemér,Sörös,Miskolci Harcosok,Junior Male Kunite -61 kg,2008-01-22,Male,2024-01-20
Fanni,Kovács,Debrecen Karate SE,Junior Female Kunite -59 kg,2007-05-09,Female,2024-02-11
Gergõ,Major,Gyõri Dojó,Cadet Male Kunite -57 kg,2009-08-19,Male,2024-03-12
Hanna,Török,Szeged Fit,Cadet Female Kunite -54 kg,2010-12-04,Female,2024-01-18
Iván,Bíró,Budapest SC,U14 Male Kunite -52 kg,2012-03-27,Male,2023-11-30
Janka,Hegedûs,Pécsi Küzdõsport Egyesület,U14 Female Kunite -42 kg,2013-06-14,Female,2024-02-24
Kornél,Vince,Miskolci Harcosok,Senior Male Kunite +84 kg,1992-02-28,Male,2024-01-12
Lili,Pásztor,Debrecen Karate SE,Senior Female Kunite +68 kg,1996-09-05,Female,2024-02-03
Máté,Szõke,Gyõri Dojó,U21 Male Kunite -84 kg,2004-04-11,Male,2024-03-08
Nóra,Bakos,Szeged Fit,U21 Female Kunite -68 kg,2003-12-19,Female,2024-01-25
Olivér,Hajdu,Budapest SC,Junior Male Kunite -76 kg,2008-07-14,Male,2024-02-15
Petra,Halász,Pécsi Küzdõsport Egyesület,Junior Female Kunite -66 kg,2007-10-30,Female,2024-01-09
Quentin,Kanyó,Miskolci Harcosok,Cadet Male Kunite -70 kg,2010-02-05,Male,2024-03-20
Rebeka,Váradi,Debrecen Karate SE,Cadet Female Kunite +61 kg,2009-05-17,Female,2024-01-22
Soma,Sipos,Gyõri Dojó,U14 Male Kunite -63 kg,2012-09-22,Male,2024-02-14
Tünde,Balla,Szeged Fit,U14 Female Kunite -52 kg,2013-04-01,Female,2024-03-01
Ubul,Gulyás,Budapest SC,Senior Male Individual Kata,1994-11-11,Male,2024-01-10
Vivien,Kovács,Pécsi Küzdõsport Egyesület,Senior Female Individual Kata,1997-03-25,Female,2024-02-18
Walter,Nagy,Miskolci Harcosok,U21 Male Individual Kata,2005-06-30,Male,2024-01-27
Xénia,Horváth,Debrecen Karate SE,U21 Female Individual Kata,2004-08-12,Female,2024-03-10
Yvette,Varga,Gyõri Dojó,Junior Female Individual Kata,2008-02-14,Female,2024-01-05
Zénó,Kiss,Szeged Fit,Junior Male Individual Kata,2007-11-20,Male,2024-02-22
Adél,Tóth,Budapest SC,Cadet Female Individual Kata,2010-01-09,Female,2024-01-14
Botond,Szabó,Pécsi Küzdõsport Egyesület,Cadet Male Individual Kata,2009-05-25,Male,2024-03-04
Csilla,Molnár,Miskolci Harcosok,U14 Female Individual Kata,2013-09-17,Female,2024-02-28
Dénes,Farkas,Debrecen Karate SE,U14 Male Individual Kata,2012-12-02,Male,2024-01-07
Erik,Balogh,Gyõri Dojó,Senior Male Kunite -75 kg,1995-07-14,Male,2024-02-17
Fruzsina,Papp,Szeged Fit,Senior Female Kunite -61 kg,1996-03-08,Female,2024-03-12
Gellért,Takács,Budapest SC,U21 Male Kunite -67 kg,2004-10-02,Male,2023-12-28
Helga,Juhász,Pécsi Küzdõsport Egyesület,U21 Female Kunite -50 kg,2005-12-14,Female,2024-02-06
Ignác,Mészáros,Miskolci Harcosok,Junior Male Kunite -68 kg,2008-06-07,Male,2024-01-24
Johanna,Simon,Debrecen Karate SE,Junior Female Kunite -53 kg,2007-03-19,Female,2024-02-23
Kende,Kocsis,Gyõri Dojó,Cadet Male Kunite -63 kg,2009-11-23,Male,2024-01-11
Lujza,Rácz,Szeged Fit,Cadet Female Kunite -47 kg,2010-05-17,Female,2024-03-05
Milán,Fekete,Budapest SC,U14 Male Kunite -57 kg,2012-10-10,Male,2024-01-18
Noémi,László,Pécsi Küzdõsport Egyesület,U14 Female Kunite +52 kg,2013-01-25,Female,2024-02-15
Oszkár,Fehér,Miskolci Harcosok,Senior Male Kunite -84 kg,1991-04-14,Male,2024-01-30
Paula,Gál,Debrecen Karate SE,Senior Female Kunite -68 kg,1994-08-09,Female,2023-12-12
Richárd,Vörös,Gyõri Dojó,U21 Male Kunite +84 kg,2003-05-02,Male,2024-02-05
Sára,Szilágyi,Szeged Fit,U21 Female Kunite +68 kg,2005-12-12,Female,2024-01-22
Tihamér,Somogyi,Budapest SC,Junior Male Kunite +76 kg,2007-06-30,Male,2023-11-15
Ursula,Fülöp,Pécsi Küzdõsport Egyesület,Junior Female Kunite +66 kg,2008-02-28,Female,2024-02-18
Valér,Veres,Miskolci Harcosok,Cadet Male Kunite +70 kg,2010-10-14,Male,2024-01-25
Zita,Szalai,Debrecen Karate SE,Cadet Female Kunite +61 kg,2009-03-19,Female,2024-03-02
Ábel,Hegedûs,Gyõri Dojó,U14 Male Kunite +70 kg,2012-09-05,Male,2024-01-08
Bianka,Budai,Szeged Fit,U14 Female Kunite +52 kg,2013-04-22,Female,2024-02-25
Celerina,Király,Budapest SC,Senior Female Kunite -50 kg,1999-11-11,Female,2024-01-20
Dezsõ,Török,Pécsi Küzdõsport Egyesület,Senior Male Kunite -60 kg,1992-01-15,Male,2024-03-14
Ella,Barta,Miskolci Harcosok,U21 Female Kunite -55 kg,2004-07-27,Female,2024-02-10
Fülöp,Sándor,Debrecen Karate SE,U21 Male Kunite -60 kg,2003-05-18,Male,2024-01-03
Gitta,Kelemen,Gyõri Dojó,Junior Female Kunite -48 kg,2008-02-08,Female,2024-02-02
Huba,Oláh,Szeged Fit,Junior Male Kunite -55 kg,2007-12-03,Male,2024-03-08
Irma,Bíró,Budapest SC,Cadet Female Kunite -61 kg,2010-08-16,Female,2024-01-19
József,Pásztor,Pécsi Küzdõsport Egyesület,Cadet Male Kunite -52 kg,2009-10-10,Male,2023-12-05
Kamilla,Vince,Miskolci Harcosok,U14 Female Kunite -47 kg,2013-06-04,Female,2024-02-14
Lóránt,Fodor,Debrecen Karate SE,U14 Male Kunite -63 kg,2012-03-22,Male,2024-01-27
Mercédesz,Szõke,Gyõri Dojó,Senior Female Kunite +68 kg,1995-09-12,Female,2024-03-10
Nándor,Major,Szeged Fit,Senior Male Kunite +84 kg,1992-11-28,Male,2024-02-22
Olga,Szûcs,Budapest SC,U21 Female Kunite -61 kg,2005-02-02,Female,2024-01-16
Patrik,Bakos,Pécsi Küzdõsport Egyesület,U21 Male Kunite -75 kg,2004-04-17,Male,2024-02-09
Róza,Hajdu,Miskolci Harcosok,Junior Female Kunite -59 kg,2008-01-30,Female,2023-12-18
Sebestyén,Halász,Debrecen Karate SE,Junior Male Kunite -68 kg,2007-08-15,Male,2024-01-21
Tekla,Kanyó,Gyõri Dojó,Cadet Female Kunite -54 kg,2010-05-25,Female,2024-03-04
Uzor,Váradi,Szeged Fit,Cadet Male Kunite -70 kg,2009-10-02,Male,2024-02-28
Vanda,Sipos,Budapest SC,U14 Female Kunite -52 kg,2013-12-14,Female,2024-01-07
Zalán,Balla,Pécsi Küzdõsport Egyesület,U14 Male Kunite -70 kg,2012-06-07,Male,2024-02-17
Aladár,Gulyás,Miskolci Harcosok,Senior Male Individual Kata,1993-03-19,Male,2024-03-12
Bella,Kovács,Debrecen Karate SE,Senior Female Individual Kata,1996-05-12,Female,2023-12-28
Cecil,Nagy,Gyõri Dojó,U21 Male Individual Kata,2004-10-22,Male,2024-02-06
Dalma,Horváth,Szeged Fit,U21 Female Individual Kata,2005-03-04,Female,2024-01-24
Elemér,Varga,Budapest SC,Junior Male Individual Kata,2008-07-18,Male,2024-02-23
Flóra,Kiss,Pécsi Küzdõsport Egyesület,Junior Female Individual Kata,2007-12-30,Female,2024-01-15
Guszti,Tóth,Miskolci Harcosok,Cadet Male Individual Kata,2010-04-05,Male,2024-02-20
Hédi,Szabó,Debrecen Karate SE,Cadet Female Individual Kata,2009-08-14,Female,2024-01-10
Ignác,Molnár,Gyõri Dojó,U14 Male Individual Kata,2012-11-02,Male,2024-03-05
Judit,Farkas,Szeged Fit,U14 Female Individual Kata,2013-06-25,Female,2024-01-20
Kevin,Balogh,Budapest SC,Senior Male Kunite -75 kg,1997-01-12,Male,2024-02-12
Luca,Papp,Pécsi Küzdõsport Egyesület,Senior Female Kunite -61 kg,1998-09-30,Female,2024-01-28
Miron,Takács,Miskolci Harcosok,U21 Male Kunite -84 kg,2004-02-14,Male,2024-03-01
Nina,Juhász,Debrecen Karate SE,U21 Female Kunite -55 kg,2005-05-20,Female,2024-01-11
Oda,Mészáros,Gyõri Dojó,Junior Female Kunite -53 kg,2008-12-08,Female,2024-02-15
Palkó,Simon,Szeged Fit,Junior Male Kunite -61 kg,2007-07-15,Male,2024-01-30
Remény,Kocsis,Budapest SC,Cadet Female Kunite -47 kg,2010-11-23,Female,2024-02-12
Soma,Rácz,Pécsi Küzdõsport Egyesület,Cadet Male Kunite -57 kg,2009-03-17,Male,2024-01-05
Teca,Fekete,Miskolci Harcosok,U14 Female Kunite -42 kg,2013-10-10,Female,2024-02-20
Ugri,László,Debrecen Karate SE,U14 Male Kunite -52 kg,2012-01-25,Male,2024-01-11
Vida,Fehér,Gyõri Dojó,Senior Female Kunite +68 kg,1994-04-14,Female,2024-03-05
Zalán,Gál,Szeged Fit,Senior Male Kunite -67 kg,1995-08-09,Male,2024-01-18
Alida,Vörös,Budapest SC,U21 Female Kunite -50 kg,2005-05-02,Female,2024-02-15
Barna,Szilágyi,Pécsi Küzdõsport Egyesület,U21 Male Kunite -60 kg,2004-12-12,Male,2024-01-30
Csenge,Somogyi,Miskolci Harcosok,Junior Female Kunite -48 kg,2008-06-30,Female,2023-12-12
Döme,Fülöp,Debrecen Karate SE,Junior Male Kunite -55 kg,2007-02-28,Male,2024-02-05
Eszter,Veres,Gyõri Dojó,Cadet Female Kunite -61 kg,2009-10-14,Female,2024-01-22
Fábián,Szalai,Szeged Fit,Cadet Male Kunite -52 kg,2010-03-19,Male,2023-11-15
Gitta,Hegedûs,Budapest SC,U14 Female Kunite -47 kg,2013-09-05,Female,2024-02-18
Huba,Budai,Pécsi Küzdõsport Egyesület,U14 Male Kunite -63 kg,2012-04-22,Male,2024-01-25
Imola,Király,Miskolci Harcosok,Senior Female Kunite -68 kg,1996-11-11,Female,2024-03-02
Jenõ,Török,Debrecen Karate SE,Senior Male Kunite +84 kg,1992-01-15,Male,2024-01-08
Kati,Barta,Gyõri Dojó,U21 Female Kunite -61 kg,2004-07-27,Female,2024-02-25
Laci,Sándor,Szeged Fit,U21 Male Kunite -75 kg,2003-05-18,Male,2023-12-20
Mimi,Kelemen,Budapest SC,Junior Female Kunite -59 kg,2008-02-08,Female,2024-01-14
Noni,Oláh,Pécsi Küzdõsport Egyesület,Junior Male Kunite -68 kg,2007-12-03,Male,2024-02-10
Oszkár,Bíró,Miskolci Harcosok,Cadet Male Kunite -63 kg,2010-08-16,Male,2024-01-03
Piri,Pásztor,Debrecen Karate SE,Cadet Female Kunite -54 kg,2009-10-10,Female,2024-02-02
Rudi,Vince,Gyõri Dojó,U14 Male Kunite -70 kg,2012-06-04,Male,2024-03-08
Sári,Fodor,Szeged Fit,U14 Female Kunite -52 kg,2013-03-22,Female,2024-01-19
Tibi,Szõke,Budapest SC,Senior Male Individual Kata,1995-09-12,Male,2023-12-05
Ulla,Major,Pécsi Küzdõsport Egyesület,Senior Female Individual Kata,1998-11-28,Female,2024-02-14
Vili,Szûcs,Miskolci Harcosok,U21 Male Individual Kata,2004-02-02,Male,2024-01-27
Zsófi,Bakos,Debrecen Karate SE,U21 Female Individual Kata,2005-04-17,Female,2024-03-10
Áron,Hajdu,Gyõri Dojó,Junior Male Individual Kata,2008-01-30,Male,2024-02-22
Beáta,Halász,Szeged Fit,Junior Female Individual Kata,2007-08-15,Female,2024-01-16
Cid,Kanyó,Budapest SC,Cadet Male Individual Kata,2010-05-25,Male,2024-02-09
Dina,Váradi,Pécsi Küzdõsport Egyesület,Cadet Female Individual Kata,2009-10-02,Female,2023-12-18
Ede,Sipos,Miskolci Harcosok,U14 Male Individual Kata,2012-12-14,Male,2024-01-21
Fifi,Balla,Debrecen Karate SE,U14 Female Individual Kata,2013-06-07,Female,2024-03-04
Géza,Gulyás,Gyõri Dojó,Senior Male Kunite -84 kg,1992-03-19,Male,2024-02-28
Hédi,Kovács,Szeged Fit,Senior Female Kunite +68 kg,1997-05-12,Female,2024-01-07
Izsó,Nagy,Budapest SC,U21 Male Kunite -67 kg,2004-10-22,Male,2024-02-17
Juci,Horváth,Pécsi Küzdõsport Egyesület,U21 Female Kunite -55 kg,2005-03-04,Female,2024-03-12
Kázmér,Varga,Miskolci Harcosok,Junior Male Kunite -76 kg,2007-07-18,Male,2023-12-28
Léna,Kiss,Debrecen Karate SE,Junior Female Kunite -66 kg,2008-12-30,Female,2024-02-06
Miki,Tóth,Gyõri Dojó,Cadet Male Kunite +70 kg,2010-04-05,Male,2024-01-24
Nelli,Szabó,Szeged Fit,Cadet Female Kunite +61 kg,2009-08-14,Female,2024-02-23
Oli,Molnár,Budapest SC,U14 Male Kunite +70 kg,2012-11-02,Male,2024-01-15
Panni,Farkas,Pécsi Küzdõsport Egyesület,U14 Female Kunite +52 kg,2013-06-25,Female,2023-11-20
Rezsõ,Balogh,Miskolci Harcosok,Senior Male Individual Kata,1994-01-12,Male,2024-02-01
Szidi,Papp,Debrecen Karate SE,Senior Female Individual Kata,1996-09-30,Female,2024-01-10
Toni,Takács,Gyõri Dojó,U21 Male Individual Kata,2003-02-14,Male,2023-12-15
Uzi,Juhász,Szeged Fit,U21 Female Individual Kata,2005-05-20,Female,2024-03-01
Vid,Mészáros,Budapest SC,Junior Male Individual Kata,2007-12-08,Male,2024-01-20
Zizi,Simon,Pécsi Küzdõsport Egyesület,Junior Female Individual Kata,2008-07-15,Female,2024-02-12
Ámi,Kocsis,Miskolci Harcosok,Cadet Female Individual Kata,2010-11-23,Female,2023-10-28
Bubi,Rácz,Debrecen Karate SE,Cadet Male Individual Kata,2009-03-17,Male,2024-01-05
Cuki,Fekete,Gyõri Dojó,U14 Female Individual Kata,2013-10-10,Female,2024-02-20
Dodi,László,Szeged Fit,U14 Male Individual Kata,2012-01-25,Male,2024-01-11
Emi,Fehér,Budapest SC,Senior Female Kunite -55 kg,1995-04-14,Female,2024-03-05
Ferkó,Gál,Pécsi Küzdõsport Egyesület,Senior Male Kunite -75 kg,1991-08-09,Male,2024-01-18
Gigi,Vörös,Miskolci Harcosok,U21 Female Kunite -61 kg,2004-05-02,Female,2024-02-15
Hani,Szilágyi,Debrecen Karate SE,U21 Male Kunite -84 kg,2004-12-12,Male,2024-01-30
Imi,Somogyi,Gyõri Dojó,Junior Male Kunite -61 kg,2008-06-30,Male,2023-12-12
Joli,Fülöp,Szeged Fit,Junior Female Kunite -53 kg,2007-02-28,Female,2024-02-05
Kati,Veres,Budapest SC,Cadet Female Kunite -47 kg,2010-10-14,Female,2024-01-22
Lili,Szalai,Pécsi Küzdõsport Egyesület,Cadet Male Kunite -57 kg,2009-03-19,Male,2023-11-15
Mari,Hegedûs,Miskolci Harcosok,U14 Female Kunite -42 kg,2013-09-05,Female,2024-02-18
Náci,Budai,Debrecen Karate SE,U14 Male Kunite -52 kg,2012-04-22,Male,2024-01-25
Ottó,Király,Gyõri Dojó,Senior Male Kunite -67 kg,1993-11-11,Male,2024-03-02
Piri,Török,Szeged Fit,Senior Female Kunite -50 kg,1997-01-15,Female,2024-01-08
Robi,Barta,Budapest SC,U21 Male Kunite -60 kg,2005-07-27,Male,2024-02-25
Saci,Sándor,Pécsi Küzdõsport Egyesület,U21 Female Kunite -55 kg,2004-05-18,Female,2024-01-20
Tomi,Kelemen,Miskolci Harcosok,Junior Male Kunite -55 kg,2007-02-08,Male,2024-03-14
Ulla,Oláh,Debrecen Karate SE,Junior Female Kunite -48 kg,2008-12-03,Female,2024-02-10
Vencel,Bíró,Gyõri Dojó,Cadet Male Kunite -52 kg,2010-08-16,Male,2024-01-03
Zsazsa,Pásztor,Szeged Fit,Cadet Female Kunite -61 kg,2009-10-10,Female,2024-02-02
Ági,Vince,Budapest SC,U14 Female Kunite -47 kg,2013-06-04,Female,2024-03-08
Bözsi,Fodor,Pécsi Küzdõsport Egyesület,U14 Male Kunite -63 kg,2012-03-22,Male,2024-01-19
Csibi,Szõke,Miskolci Harcosok,Senior Female Individual Kata,1996-09-12,Female,2023-12-05
Dani,Major,Debrecen Karate SE,Senior Male Individual Kata,1994-11-28,Male,2024-02-14
Eszti,Szûcs,Gyõri Dojó,U21 Female Individual Kata,2005-02-02,Female,2024-01-27
Fanni,Bakos,Szeged Fit,U21 Male Individual Kata,2004-04-17,Male,2024-03-10
Gabi,Hajdu,Budapest SC,Junior Female Individual Kata,2008-01-30,Female,2024-02-22
Hetti,Halász,Pécsi Küzdõsport Egyesület,Junior Male Individual Kata,2007-08-15,Male,2024-01-16
Iza,Kanyó,Miskolci Harcosok,Cadet Female Individual Kata,2010-05-25,Female,2024-02-09
Jani,Váradi,Debrecen Karate SE,Cadet Male Individual Kata,2009-10-02,Male,2023-12-18
Kati,Sipos,Gyõri Dojó,U14 Female Individual Kata,2013-12-14,Female,2024-01-21
Lulu,Balla,Szeged Fit,U14 Male Individual Kata,2012-06-07,Male,2024-03-04
Mici,Gulyás,Budapest SC,Senior Female Individual Kata,1997-03-19,Female,2024-02-28
Noni,Kovács,Pécsi Küzdõsport Egyesület,Senior Male Individual Kata,1995-05-12,Male,2024-01-07
Odi,Nagy,Miskolci Harcosok,U21 Female Individual Kata,2005-10-22,Female,2024-02-17
Peti,Horváth,Debrecen Karate SE,U21 Male Individual Kata,2004-03-04,Male,2024-03-12
Robi,Varga,Gyõri Dojó,Junior Male Individual Kata,2008-07-18,Male,2023-12-28
Sári,Kiss,Szeged Fit,Junior Female Individual Kata,2007-12-30,Female,2024-02-06
Tündi,Tóth,Budapest SC,Cadet Female Individual Kata,2010-04-05,Female,2024-01-24
Ubul,Szabó,Pécsi Küzdõsport Egyesület,Cadet Male Individual Kata,2009-08-14,Male,2024-02-23
Vica,Molnár,Miskolci Harcosok,U14 Female Individual Kata,2013-11-02,Female,2024-01-15
Zénó,Farkas,Debrecen Karate SE,U14 Male Individual Kata,2012-06-25,Male,2023-11-20
Ádi,Balogh,Gyõri Dojó,Senior Male Kunite -75 kg,1996-01-12,Male,2024-02-01
Bibi,Papp,Szeged Fit,Senior Female Kunite -61 kg,1999-09-30,Female,2024-01-10
Cili,Takács,Budapest SC,U21 Female Kunite -55 kg,2005-02-14,Female,2023-12-15
Dodo,Juhász,Pécsi Küzdõsport Egyesület,U21 Male Kunite -84 kg,2004-05-20,Male,2024-03-01
Emi,Mészáros,Miskolci Harcosok,Junior Female Kunite -53 kg,2008-12-08,Female,2024-01-20
Fifi,Simon,Debrecen Karate SE,Junior Male Kunite -61 kg,2007-07-15,Male,2024-02-12
Gigi,Kocsis,Gyõri Dojó,Cadet Female Kunite -47 kg,2010-11-23,Female,2023-10-28
Hani,Rácz,Szeged Fit,Cadet Male Kunite -57 kg,2009-03-17,Male,2024-01-05
Iza,Fekete,Budapest SC,U14 Female Kunite -42 kg,2013-10-10,Female,2024-02-20
Joci,László,Pécsi Küzdõsport Egyesület,U14 Male Kunite -52 kg,2012-01-25,Male,2024-01-11
Kati,Fehér,Miskolci Harcosok,Senior Female Kunite +68 kg,1993-04-14,Female,2024-03-05
Lali,Gál,Debrecen Karate SE,Senior Male Kunite -67 kg,1994-08-09,Male,2024-01-18
Mimi,Vörös,Gyõri Dojó,U21 Female Kunite -50 kg,2004-05-02,Female,2024-02-15
Noni,Szilágyi,Szeged Fit,U21 Male Kunite -60 kg,2003-12-12,Male,2024-01-30
Oli,Somogyi,Budapest SC,Junior Male Kunite -55 kg,2008-06-30,Male,2023-12-12
Piri,Fülöp,Pécsi Küzdõsport Egyesület,Junior Female Kunite -48 kg,2007-02-28,Female,2024-02-05
Robi,Veres,Miskolci Harcosok,Cadet Male Kunite -52 kg,2010-10-14,Male,2024-01-22
Saci,Szalai,Debrecen Karate SE,Cadet Female Kunite -61 kg,2009-03-19,Female,2023-11-15
Tomi,Hegedûs,Gyõri Dojó,U14 Male Kunite -63 kg,2012-09-05,Male,2024-02-18
Ulla,Budai,Szeged Fit,U14 Female Kunite -47 kg,2013-04-22,Female,2024-01-25
Vili,Király,Budapest SC,Senior Male Kunite -60 kg,1992-11-11,Male,2024-03-02
Zsófi,Török,Pécsi Küzdõsport Egyesület,Senior Female Kunite -68 kg,1995-01-15,Female,2024-01-08
Áron,Barta,Miskolci Harcosok,U21 Male Kunite -75 kg,2005-07-27,Male,2024-02-25
Beáta,Sándor,Debrecen Karate SE,U21 Female Kunite -61 kg,2004-05-18,Female,2024-01-20
Cid,Kelemen,Gyõri Dojó,Junior Male Kunite -68 kg,2007-02-08,Male,2024-03-14
Dina,Oláh,Szeged Fit,Junior Female Kunite -59 kg,2008-12-03,Female,2024-02-10
Ede,Bíró,Budapest SC,Cadet Male Kunite -63 kg,2010-08-16,Male,2024-01-03
Fifi,Pásztor,Pécsi Küzdõsport Egyesület,Cadet Female Kunite -54 kg,2009-10-10,Female,2024-02-02
Géza,Vince,Miskolci Harcosok,U14 Male Kunite -70 kg,2012-06-04,Male,2024-03-08
Hédi,Fodor,Debrecen Karate SE,U14 Female Kunite -52 kg,2013-03-22,Female,2024-01-19
Izsó,Szõke,Gyõri Dojó,Senior Male Individual Kata,1994-09-12,Male,2023-12-05
Juci,Major,Szeged Fit,Senior Female Individual Kata,1997-11-28,Female,2024-02-14
Kázmér,Szûcs,Budapest SC,U21 Male Individual Kata,2005-02-02,Male,2024-01-27
Léna,Bakos,Pécsi Küzdõsport Egyesület,U21 Female Individual Kata,2004-04-17,Female,2024-03-10
Miki,Hajdu,Miskolci Harcosok,Junior Male Individual Kata,2008-01-30,Male,2024-02-22
Nelli,Halász,Debrecen Karate SE,Junior Female Individual Kata,2007-08-15,Female,2024-01-16
Oli,Kanyó,Gyõri Dojó,Cadet Male Individual Kata,2010-05-25,Male,2024-02-09
Panni,Váradi,Szeged Fit,Cadet Female Individual Kata,2009-10-02,Female,2023-12-18
Rezsõ,Sipos,Budapest SC,U14 Male Individual Kata,2012-12-14,Male,2024-01-21
Szidi,Balla,Pécsi Küzdõsport Egyesület,U14 Female Individual Kata,2013-06-07,Female,2024-03-04
